"Alex Elliott",,,,
"Allan Leonard",,,,
"Bert Johnston",,,,
"Bertie Kerr",,,,
"Bill Barbour",,,,
"Cecil Noble",,,,
"Damien Harris",,,,
"David Brien",,,,
"David McQuillan",,,,
"Donal Ó Cófaigh",,,,
"Donald Crawford",,,,
"Eithne McNulty",,,,
"Eugene Lyttle",,,,
"Fergus McQuillan",,,,
"Frank Britton",,,,
"George Cathcart",,,,
"Hannah Su","Q98270763","2015 United Kingdom general election","Fermanagh and South Tyrone","Alliance Party of Northern Ireland"
"Jack Hassard",,,,
"James McQuaid",,,,
"Jim Dixon",,,,
"John Feely",,,,
"John Haslett","Q98270771","1987 United Kingdom general election","Fermanagh and South Tyrone","Alliance Party of Northern Ireland"
"Joseph Maguire",,,,
"Kenny Donaldson",,,,
"Kerri Blyberg",,,,
"Linda Cleland",,,,
"Marie Crawley",,,,
"Michael McManus",,,,
"Noreen Campbell","Q98270778","2017 United Kingdom general election","Fermanagh and South Tyrone","Alliance Party of Northern Ireland"
"Olive Mullen",,,,
"Pat Cox",,,,
"Pat Treanor",,,,
"Patrick Reimill",,,,
"Richard Dunn",,,,
"Robert Mulligan",,,,
"Simeon Gillan","Q98270786","1997 United Kingdom general election","Fermanagh and South Tyrone","Natural Law Party"
"Tanya Jones","Q98270789","2015 United Kingdom general election","Fermanagh and South Tyrone","Green Party in Northern Ireland"
"Thomas Murray",,,,
"Tommy Owens","Q98272290","1992 United Kingdom general election","Mid Ulster","Workers' Party of Ireland"
"Vincent Currie",,,,
"William Mitchell",,,,
